country,year,Access to electricity (% of population),Access to clean fuels for cooking,Renewable-electricity-generating-capacity-per-capita,Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Value_co2_emissions_kt_by_country,Renewables (% equivalent primary energy),gdp_growth,gdp_per_capita,Density\n(P/Km2),Land Area(Km2),Latitude,Longitude,iso_code,population,gdp,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_demand_per_capita,electricity_generation,electricity_share_energy,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_elec_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy,continent
Algeria,2000,98.9731,97.1,8.91,0.43,23.84,0.0,0.05,0.20929259,9746.524,4.18,80050.0,0.053235482,3.8,1765.027146,18,2381741.0,28.033886,1.659626,DZA,30774624.0,208554147840.0,,,,,0.0,0.0,0.0,,638.583,-17.376,-1.186,183.286,5.641,0.0,0.0,-100.0,-0.038,0.0,0.0,0.0,1.881,25.33,823.081,25.4,8.471,-3.689,-11.489,9746.524,1.438,-3.554,-11.048,823.731,25.35,9741.336,299.786,99.803,99.947,-6.872,-14.096,191.013,798.71,24.58,6206.832,1.977,17.817,29858.57,918.886,96.772,63.683,16.22,-73.399,-0.441,0.16,1.625,0.05,5.189,0.197,0.053,-73.399,-0.441,0.16,1.625,0.05,5.189,0.197,0.053,-0.07,-0.276,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.281,4.234,103.132,25.021,0.77,3351.218,14.11,96.047,25239.395,776.733,3.031,34.384,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,825.355,299.946,-73.399,-0.441,0.16,1.625,0.05,5.189,0.197,0.053,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Africa
Algeria,2001,98.96687,97.3,8.79,0.43,24.96,0.0,0.07,0.2796644,9961.64,4.07,78650.0,0.065218486,3.0,1740.606654,18,2381741.0,28.033886,1.659626,DZA,31200984.0,223420284928.0,,,,,0.0,0.0,0.0,,638.242,15.464,0.872,208.737,6.513,0.0,0.0,,0.0,0.0,0.0,0.0,2.095,26.57,851.576,26.62,8.568,3.623,10.867,9961.64,1.391,3.611,10.824,850.935,26.55,9955.143,310.61,99.737,99.935,3.303,6.309,197.322,826.256,25.78,6324.227,-5.894,-54.161,27714.682,864.725,96.844,63.486,16.99,27.778,0.043,0.203,2.244,0.07,6.497,0.263,0.065,27.778,0.043,0.203,2.244,0.07,6.497,0.263,0.065,-0.05,-0.188,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.532,3.643,106.775,24.679,0.77,3422.178,-1.551,-12.049,24508.334,764.684,2.893,34.354,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,853.178,310.813,27.778,0.043,0.203,2.244,0.07,6.497,0.263,0.065,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Africa
Algeria,2002,98.95306,97.8,8.68,0.51,25.94,0.0,0.06,0.23076923,10180.35,4.12,82400.00153,0.05167677,5.6,1781.828908,18,2381741.0,28.033886,1.659626,DZA,31624700.0,245360918528.0,,,,,0.0,0.0,0.0,,637.975,31.25,2.035,270.297,8.548,0.0,0.0,,0.0,0.0,0.0,0.0,2.655,27.63,873.684,27.65,8.591,3.583,11.138,10180.35,1.312,3.597,11.174,872.419,27.59,10175.09,321.784,99.783,99.948,-1.258,-2.483,194.839,853.447,26.99,6160.971,2.855,24.69,28124.088,889.416,97.613,60.518,17.64,-17.391,-0.036,0.166,1.897,0.06,5.261,0.217,0.052,-17.391,-0.036,0.166,1.897,0.06,5.261,0.217,0.052,-0.02,-0.072,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.884,11.622,118.397,18.973,0.6,3743.821,7.822,59.813,26071.305,824.497,2.17,36.775,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,874.317,321.951,-17.391,-0.036,0.166,1.897,0.06,5.261,0.217,0.052,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Africa
Algeria,2003,98.93401,98.0,8.57,0.47,27.54,0.0,0.26,0.93525183,10510.461,4.08,88190.00244,0.228104,7.2,2103.381291,18,2381741.0,28.033886,1.659626,DZA,32055882.0,273568645120.0,,,,,0.0,0.0,0.0,,634.089,-17.551,-1.5,219.859,7.048,0.0,0.0,,0.0,0.0,0.0,0.0,2.092,29.58,922.764,29.57,8.79,4.65,14.972,10510.461,1.232,4.466,14.369,914.341,29.31,10486.486,336.154,99.121,99.772,5.693,11.093,205.932,892.816,28.62,6424.146,5.527,49.16,29279.365,938.576,96.787,61.121,18.75,364.912,0.602,0.769,8.111,0.26,23.975,0.879,0.228,364.912,0.602,0.769,8.111,0.26,23.975,0.879,0.228,0.01,0.034,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.035,4.777,123.174,21.525,0.69,3842.481,11.441,94.331,28663.324,918.828,2.333,36.559,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,922.452,336.922,364.912,0.602,0.769,8.111,0.26,23.975,0.879,0.228,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Africa
Algeria,2004,98.91208,98.2,8.46,0.44,29.14,0.0,0.25,0.8506295,10759.022,3.96,89489.99786,0.2067869,4.3,2610.185422,18,2381741.0,28.033886,1.659626,DZA,32510184.0,296773582848.0,,,,,0.0,0.0,0.0,,634.56,19.307,1.361,258.642,8.408,0.0,0.0,,0.0,0.0,0.0,0.0,2.404,31.26,961.545,31.25,8.946,3.816,12.856,10759.022,1.179,3.838,12.901,953.547,31.0,10736.774,349.055,99.2,99.793,2.898,5.967,211.899,932.323,30.31,6517.932,-1.921,-18.027,28315.721,920.549,96.992,60.581,19.83,-5.283,-0.045,0.723,7.69,0.25,22.248,0.8,0.207,-5.283,-0.045,0.723,7.69,0.25,22.248,0.8,0.207,0.01,0.032,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.524,5.573,128.747,21.224,0.69,3960.2,5.754,52.87,29889.039,971.698,2.208,36.808,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,961.237,349.778,-5.283,-0.045,0.723,7.69,0.25,22.248,0.8,0.207,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Africa
Algeria,2005,98.88961,98.5,8.34,0.58,31.36,0.0,0.55,1.7235976,11113.723,3.9,94190.00244,0.43411878,5.9,3113.094883,18,2381741.0,28.033886,1.659626,DZA,32956690.0,326854475776.0,,,,,0.0,0.0,0.0,,629.313,-17.842,-1.5,209.615,6.908,0.0,0.0,,0.0,0.0,0.0,0.0,1.886,33.99,1031.354,33.91,9.285,4.715,16.494,11113.723,1.121,4.477,15.627,1012.238,33.36,11065.476,364.681,98.378,99.566,5.503,11.661,223.56,990.391,32.64,6783.444,-7.76,-71.432,25764.646,849.117,96.255,61.037,21.34,121.235,0.867,1.59,16.689,0.55,48.247,1.622,0.434,121.235,0.867,1.59,16.689,0.55,48.247,1.622,0.434,0.08,0.235,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.246,5.467,134.213,21.847,0.72,4072.417,3.455,33.572,30502.762,1005.27,2.123,36.643,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1028.926,366.272,121.235,0.867,1.59,16.689,0.55,48.247,1.622,0.434,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Africa
Algeria,2006,98.86901,98.7,7.42,0.41,32.9,0.0,0.22,0.6642512,11341.98,4.1,99809.99756,0.16327195,1.7,3478.710002,18,2381741.0,28.033886,1.659626,DZA,33435082.0,345705316352.0,,,,,0.0,0.0,0.0,,635.822,48.485,3.349,306.793,10.258,0.0,0.0,,0.0,0.0,0.0,0.0,2.705,35.31,1056.076,35.23,9.3,3.535,12.949,11341.98,1.097,3.817,13.919,1047.104,35.01,11323.462,378.601,99.376,99.837,2.209,4.938,228.497,1024.672,34.26,6834.064,-4.254,-36.123,24315.623,812.995,97.247,60.255,22.4,-60.814,-0.971,0.619,6.58,0.22,18.518,0.624,0.163,-60.814,-0.971,0.619,6.58,0.22,18.518,0.624,0.163,0.08,0.227,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.197,5.632,139.846,22.432,0.75,4182.604,-0.273,-2.741,29984.354,1002.529,2.129,36.877,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1053.684,379.22,-60.814,-0.971,0.619,6.58,0.22,18.518,0.624,0.163,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Africa
Algeria,2007,98.852936,98.8,7.3,0.41,34.75,0.0,0.22,0.62911063,11759.701,4.21,102750.0,0.15990457,3.4,3950.512993,18,2381741.0,28.033886,1.659626,DZA,33983836.0,371665272832.0,,,,,0.0,0.0,0.0,,635.924,-14.172,-1.454,259.062,8.804,0.0,0.0,,0.0,0.0,0.0,0.0,2.203,37.2,1094.638,37.19,9.316,5.385,20.42,11759.701,1.075,5.388,20.4,1087.87,36.97,11740.897,399.001,99.408,99.84,2.324,5.309,233.807,1064.624,36.18,6879.941,0.426,3.465,24024.947,816.46,97.284,58.504,23.65,3.86,0.02,0.639,6.474,0.22,18.804,0.592,0.16,3.86,0.02,0.639,6.474,0.22,18.804,0.592,0.16,0.01,0.027,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.83,16.544,156.39,23.246,0.79,4601.894,0.325,3.256,29596.002,1005.786,2.124,39.133,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1094.344,399.64,3.86,0.02,0.639,6.474,0.22,18.804,0.592,0.16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Africa
Algeria,2008,99.3,99.0,6.64,0.3,37.55,0.0,0.28,0.74015325,12252.297,4.16,107750.0,0.1877543,2.4,4923.631615,18,2381741.0,28.033886,1.659626,DZA,34569592.0,395658526720.0,,,,,0.0,0.0,0.0,,635.347,0.0,0.0,254.672,8.804,0.0,0.0,,0.0,0.0,0.0,0.0,2.079,40.18,1162.293,40.23,9.51,5.985,23.917,12252.297,1.071,5.955,23.761,1155.64,39.95,12229.293,422.762,99.304,99.812,4.378,10.235,244.042,1132.787,39.16,7059.438,1.169,9.548,23894.057,826.008,97.34,57.617,25.56,25.221,0.156,0.795,8.1,0.28,23.004,0.696,0.188,25.221,0.156,0.795,8.1,0.28,23.004,0.696,0.188,-0.05,-0.124,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.649,13.526,169.916,22.852,0.79,4915.184,-1.99,-20.015,28515.539,985.771,1.964,40.116,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1163.74,423.557,25.221,0.156,0.795,8.1,0.28,23.004,0.696,0.188,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Africa
Algeria,2009,98.845184,99.1,6.44,0.31,35.91,0.0,0.3,0.8285005,12753.12,4.48,112169.9982,0.21278548,1.6,3883.2709,18,2381741.0,28.033886,1.659626,DZA,35196040.0,418247704576.0,,,,,0.0,0.0,0.0,,634.545,-35.799,-3.152,160.591,5.652,0.0,0.0,,0.0,0.0,0.0,0.0,1.259,38.47,1093.021,38.5,8.59,5.974,25.302,12753.12,1.073,5.947,25.143,1085.349,38.2,12725.983,447.904,99.221,99.787,7.407,18.076,262.118,1068.018,37.59,7447.361,-7.305,-60.339,21754.398,765.669,97.636,58.396,24.43,20.848,0.16,0.955,8.524,0.3,27.137,0.779,0.213,20.848,0.16,0.955,8.524,0.3,27.137,0.779,0.213,-0.03,-0.078,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.014,10.219,180.134,17.331,0.61,5118.031,-8.88,-87.539,25520.811,898.231,1.584,40.132,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1093.873,448.859,20.848,0.16,0.955,8.524,0.3,27.137,0.779,0.213,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Africa
